file_id,path,offset,end,size,sha256,extension,format,signature_hex
94,__unmapped__/file_00094,3654144,3702016,47872,523622fd1d53e765ad9476f86b7c9b49c657e6659560e447ed31bc3848f3e257,,,18b4054b01241c6000245c609860d960
95,__unmapped__/file_00095,3702272,3724480,22208,78210b5feebe6771084c11c3e3749b5747b6e8532ca2635853287e208e18bdf7,,Nintendo RLE,30b585b0051cc7f5b3fb002800d1cce0
96,__unmapped__/file_00096,3724800,3736160,11360,9d7b88f0f96b9a4aff37bb7d4d00ee4632a111041bdac9ffcc3e0c255fe92f7d,,,18b4054b01241c6000245c609860d960
97,__unmapped__/file_00097,3736576,3819232,82656,9adffd7742a098da401c712b259d83976ed63e97fa3452b9dff18043ba2593d0,,,00207047f0b597b0051c562080002818
98,__unmapped__/file_00098,3819520,3832320,12800,d7ea69168420b5cb979af0e0247b6ec1ca3c8ec42410aa064399496e5cc14cfd,,,38b50a22051c03206c219203d0f53cfa
99,__unmapped__/file_00099,3832320,3850432,18112,85875a2fba0d4eee80cadcb2430722c90ae99042ac47c1e23af554b2372bab79,,,f8b5051c0020011c45f636fe45f63afe
100,__unmapped__/file_00100,3850752,3869120,18368,4d779718c344d991303eb0703a2a0715d1af8469e265e1b348781f550f3959ff,,,78b585b0051c03206f21820446f64cfa
101,__unmapped__/file_00101,3869184,3906304,37120,cc1e9c4aa6755ce6f29d98a4d671b58ffd15ea88e5d5758193b544d7654c30b7,,Nintendo RLE,30b583b0051c0020011c45f635fe45f6
102,__unmapped__/file_00102,3906560,3908640,2080,44448411734ee8f46a13365b1888692ae73224e4c8a2f3d7ff7386784908f33f,,,38b50222051c03205421120446f64cfa
103,__unmapped__/file_00103,3909120,3909152,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
104,__unmapped__/file_00104,3909632,3991008,81376,3665036930719348cd2c34ceb626bee89255b157bcd709045b3e154602fca234,,Nintendo LZ10,10b5041c0b1c101c211c1a1cd7f572ff
105,__unmapped__/file_00105,3991040,4009952,18912,07f6b42fffccce0ffbf2388d7c69c31a305f600e6d4597c0bb575d6d5b7237c7,,,70b582b0051c0e1c39480221c3f5dafd
106,__unmapped__/file_00106,4009984,4017600,7616,d7510d7b6c6378ed1f5c56fe941b1e4ba846521d3f9123f725f38a74177bda4a,,,70b5041c0e1c2c480221c3f5dbfd00f0
107,__unmapped__/file_00107,4017664,4052576,34912,a4023314dd5ea1ecea2cfd9928e33238bbc8dcca49c2fb56c1f3aaec7ae8e5f5,,,70b5041c0e1c38480221c3f5dbfd01f0
108,__unmapped__/file_00108,4052992,4060352,7360,f7f96dc22c5f1d8a5c63e7b1e2360ac2f3e1687e700f69574a02ce85f7dbb26d,,,70b5041c0e1c51480221c3f5dbfd00f0
109,__unmapped__/file_00109,4060672,4081632,20960,8728e2191dedec822516289fc094f6fc02838efe62d677cc49d4e5a26e9c8eb3,,,f0b583b0051c34f6e5fd041c0120011c
110,__unmapped__/file_00110,4081664,4087232,5568,1eba5fda5ef9102fabb359612a8f05d1e8d15e8b672832a6a773547ca2912171,,,70b5041c00200e1c011c45f635fe0020
111,__unmapped__/file_00111,4087296,4098528,11232,a88a6adab0ffd3f0f601c75813952e0857236271e9e2bde585ac963a27669263,,,f8b5051c0f1c00f0d3ff122203207321
112,__unmapped__/file_00112,4098560,4103296,4736,7c37cbcda7b0ae6a20c83bb18c595d7f9f6fec8a9fa6648cc3995ce2c1e3d7bf,,Nintendo RLE,30b583b0041ca9f525f90522051c0320
113,__unmapped__/file_00113,4103680,4123776,20096,af1e0c9b321ac8c334ae537618c792254505f2154de08c015bec610a1f4633e0,,Nintendo RLE,30b583b0041c0020011cbaf575f9baf5
114,__unmapped__/file_00114,4124160,4139840,15680,82727c8a9cc7af92e8976207dfc35772403cd79ba65b042a12ab5feaab23932a,,,f0b583b0061c009101920293321c1021
115,__unmapped__/file_00115,4140032,4165248,25216,7d6b855a8d876febfd5d786afe34ba25a32cbb4d2a7f38e5d2847000721e3e85,,,38b5041ca5f586fa051c032063214204
116,__unmapped__/file_00116,4165632,4197408,31776,acd20fe19e830ad8d5356b1a9b50d650a2fb3d794f178d9e44d8b078af565d87,,Nintendo LZ10,10b5116850681c1c6161a061bcf576f8
117,__unmapped__/file_00117,4197888,4225536,27648,d29f552929267bbb1ef8765867fac68a5468c7137023fe5615255370ab9f0756,,,38b5041ca5f586fa051c03206e214204
118,__unmapped__/file_00118,4225536,4226624,1088,ccc006c222a4f5671717780e33dcad7fe92b19d3e869cd147f1da5fa107eff39,,Nintendo LZ10,10b5041c0b482058002801d050f63cff
119,__unmapped__/file_00119,4227072,4233536,6464,97d34a6fc270f982dab65a6dc645ff73fb997b4bb49f65d48aec88ac092b67c8,,,08b54ef607fa4ef639fa012292061168
120,__unmapped__/file_00120,4233728,4234944,1216,110bbf754735d99d78e55e21889e2bb961ce1af4ab6b4bd84f278a47998a8f98,,Nintendo LZ10,10b50122041c03207821920446f64cfa
121,__unmapped__/file_00121,4235264,4236864,1600,6a707ded8745967a6641b800ef83a7d6e26c1cd1c6f3820f1cd8ede99c7297bc,,,18b583b0041c0020011c45f635fe45f6
122,/application/balloon/graphic/balloon_gra.narc,95834624,96137632,303008,128959a12885782631c1e47a9f96f1edb4480e944559f7d39f52c630b1dbefab,.narc,NARC archive,4e415243feff0001a09f040010000300
123,/application/bucket/ballslow_data.narc,96266752,96267172,420,1a5f793e0d663dcd8378ee1741b5c8f97fb2f718f2afdf1c008a35d9e68815d4,.narc,NARC archive,4e415243feff0001a401000010000300
124,/application/custom_ball/data/cb_data.narc,93135360,93196172,60812,4b25ee9d91e977fcbf4be1cab7d2ba15cfb6d58983d5ef5ebeaca137409506a1,.narc,NARC archive,4e415243feff00018ced000010000300
125,/application/custom_ball/edit/pl_cb_data.narc,95723520,95726652,3132,f4e4742692bc6bc281907126d4fa5c4f16006b7a832dd75207cb52ba08fbdf5d,.narc,NARC archive,4e415243feff00013c0c000010000300
126,/application/wifi_earth/wifi_earth.narc,92979200,93131380,152180,a529c990a715b9599316abf4049a14a23b4c18a019b69a41b2630fb921460ff6,.narc,NARC archive,4e415243feff00017452020010000300
127,/application/wifi_earth/wifi_earth_place.narc,93131776,93135048,3272,067806345d96ce91f3cd76aaafddf4b6a915c512499fbf61f49e0368a59c7e84,.narc,NARC archive,4e415243feff0001c80c000010000300
128,/application/wifi_lobby/map_conv/wflby_map.narc,96137728,96154768,17040,5fefe70c66946659c32a8d48fcfa9fd8f1bed083f1bc5dd32b189c12b8eb85fc,.narc,NARC archive,4e415243feff00019042000010000300
129,/application/zukanlist/zkn_data/zukan_data.narc,92933120,92955780,22660,0dd48591665b8cefffcd4185a1167bc7f7563abffb3056459f38bd1f420cc601,.narc,NARC archive,4e415243feff00018458000010000300
130,/application/zukanlist/zkn_data/zukan_data_gira.narc,92956160,92978824,22664,9c9fc1304a92510571df6990f7175f3a8e1dfe751ed440c65b20283e5bfa6cf8,.narc,NARC archive,4e415243feff00018858000010000300
131,/application/zukanlist/zkn_data/zukan_enc_diamond.narc,95452672,95524128,71456,b4262a3faaf64a1d3f535fb31a652a4731c8c4c3356a8eb1d27f9808904984d1,.narc,NARC archive,4e415243feff00012017010010000300
132,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,95524352,95595784,71432,97c126918497d52714069b2effdc1a87616df661eef313bbf7a3260b0cd9d4fc,.narc,NARC archive,4e415243feff00010817010010000300
133,/application/zukanlist/zkn_data/zukan_enc_platinum.narc,95596032,95667492,71460,618fff4cf05edf5d66801b75162475897f91702d4e9a0b8137c61b5c3555c68f,.narc,NARC archive,4e415243feff00012417010010000300
134,/arc/area_win_gra.narc,93315072,93348460,33388,266076884172c17f463556079d9cecba023fcbee810016002c5695a55ce33eda,.narc,NARC archive,4e415243feff00016c82000010000300
135,/arc/balance_ball_gra.narc,93348864,93490220,141356,9b9260aab0d01c22db90407801cbe7279ac9985772f8f13384294cb2a416f32b,.narc,NARC archive,4e415243feff00012c28020010000300
136,/arc/bm_anime.narc,93490688,93563728,73040,db2aec4c463f5afb2f7e2a425cf7d0b062f5eddf9e14ce9da94e5d0ad4ff14d9,.narc,NARC archive,4e415243feff0001501d010010000300
137,/arc/bm_anime_list.narc,93563904,93580476,16572,536f4c93d6ccde5fa0956f1331cfb65e9edba535a8375f964a2e4fca5adeac24,.narc,NARC archive,4e415243feff0001bc40000010000300
138,/arc/codein_gra.narc,93580800,93674068,93268,7afdf9b3a07bf56fb7f88dba385eff34b3df24c82e685400c39ab95a52acaad9,.narc,NARC archive,4e415243feff0001546c010010000300
139,/arc/demo_tengan_gra.narc,93674496,94627552,953056,43161092371649c065ea98f3677a46f69248801919216bfe00a69b5a789bb797,.narc,NARC archive,4e415243feff0001e08a0e0010000300
140,/arc/email_gra.narc,94627840,94653964,26124,435d7b385476242b11085ea19e0d2fad8cab411ce9a486b8cb30abf1088e41b7,.narc,NARC archive,4e415243feff00010c66000010000300
141,/arc/encdata_ex.narc,94654464,94656292,1828,a5d3e77378c89119f936f3971c4f8f5db609cd575a29b627350d389e4260ca71,.narc,NARC archive,4e415243feff00012407000010000300
142,/arc/manene.narc,94656512,94914356,257844,eac58a191d8b5ae095cfa875614fd73a54f65b05cf38f0efa4b04a06535bfc9e,.narc,NARC archive,4e415243feff000134ef030010000300
